product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,data_src,date
2720,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/topaz,Home Builder,,K.Hovnanian Homes,Fowler,CA,Topaz,,93625,Fowler,"499,990","2,502",No Plan,19/05/2024 10:01:00 PM
8600,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/juniper,Home Builder,,K.Hovnanian Homes,Fowler,CA,Juniper,,93625,Fowler,"429,990","1,694",No Plan,19/05/2024 10:01:00 PM
1365,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/paso-fino,Home Builder,,K.Hovnanian Homes,Fowler,CA,Paso Fino,,93625,Fowler,"499,990","1,973",No Plan,19/05/2024 10:01:00 PM
5150,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/larkspur,Home Builder,,K.Hovnanian Homes,Fowler,CA,Larkspur,,93625,Fowler,"509,990","2,227",No Plan,19/05/2024 10:01:00 PM
9804,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/slate,Home Builder,,K.Hovnanian Homes,Fowler,CA,Slate,,93625,Fowler,"549,990","2,797",No Plan,19/05/2024 10:01:00 PM
4839,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/ashmere,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Ashmere,,34951,Fort-Pierce,"358,990","1,464",No Plan,19/05/2024 10:01:00 PM
5884,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/eden,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Eden,,34951,Fort-Pierce,"374,990","1,616",No Plan,19/05/2024 10:01:00 PM
2389,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/lelia,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Lelia,,34951,Fort-Pierce,"398,990","1,917",No Plan,19/05/2024 10:01:00 PM
5694,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/emerald,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Emerald,,34951,Fort-Pierce,"411,990","2,321",No Plan,19/05/2024 10:01:00 PM
1034,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/george,Home Builder,,K.Hovnanian Homes,Bellville,TX,George,,77418,Bellville,"256,990","1,413",No Plan,19/05/2024 10:01:00 PM
4188,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/rochester,Home Builder,,K.Hovnanian Homes,Bellville,TX,Rochester,,77418,Bellville,"306,990","1,955",No Plan,19/05/2024 10:01:00 PM
4058,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/jackie-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Jackie II,,77418,Bellville,"274,990","1,671",No Plan,19/05/2024 10:01:00 PM
5700,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/leopold,Home Builder,,K.Hovnanian Homes,Bellville,TX,Leopold,,77418,Bellville,"266,990","1,610",No Plan,19/05/2024 10:01:00 PM
2024,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/wilmington-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Wilmington II,,77418,Bellville,"307,990","2,208",No Plan,19/05/2024 10:01:00 PM
6484,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/lancaster-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Lancaster II,,77418,Bellville,"286,990","1,905",No Plan,19/05/2024 10:01:00 PM
5898,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/darlington-ii,Home Builder,,K.Hovnanian Homes,Bellville,TX,Darlington II,,77418,Bellville,"300,990","1,990",No Plan,19/05/2024 10:01:00 PM
8716,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/bluebell,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Bluebell,,44081,Perry-Village,"278,990","1,439",No Plan,19/05/2024 10:01:00 PM
6069,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/forsythia,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Forsythia,,44081,Perry-Village,"308,990","1,799",No Plan,19/05/2024 10:01:00 PM
1951,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/daffodil,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Daffodil,,44081,Perry-Village,"320,990","1,628",No Plan,19/05/2024 10:01:00 PM
4040,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/oleander,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Oleander,,44081,Perry-Village,"326,990","2,080",No Plan,19/05/2024 10:01:00 PM
4847,Hovnanian,https://www.khov.com/find-new-homes/ohio/perry-village/44081/k-hovnanian-homes/booth-farms/water-lily,Home Builder,,K.Hovnanian Homes,Perry-Village,OH,Water Lily,,44081,Perry-Village,"346,990","2,486",No Plan,19/05/2024 10:01:00 PM
4549,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/hanover,Home Builder,,K.Hovnanian Homes,Green,OH,Hanover,,44685,Green,"350,990","2,258",No Plan,19/05/2024 10:01:00 PM
9909,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/irving,Home Builder,,K.Hovnanian Homes,Green,OH,Irving,,44685,Green,"320,990","1,854",No Plan,19/05/2024 10:01:00 PM
6144,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/eastwood,Home Builder,,K.Hovnanian Homes,Green,OH,Eastwood,,44685,Green,"340,990","1,780",No Plan,19/05/2024 10:01:00 PM
4985,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/eastwood-loft,Home Builder,,K.Hovnanian Homes,Green,OH,Eastwood Loft,,44685,Green,"385,990","2,427",No Plan,19/05/2024 10:01:00 PM
3713,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/hanover-with-morning-room,Home Builder,,K.Hovnanian Homes,Green,OH,Hanover with Morning Room,,44685,Green,"370,990","2,462",No Plan,19/05/2024 10:01:00 PM
5681,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/appleton,Home Builder,,K.Hovnanian Homes,Green,OH,Appleton,,44685,Green,"354,990","2,297",No Plan,19/05/2024 10:01:00 PM
5159,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/brantwood,Home Builder,,K.Hovnanian Homes,Green,OH,Brantwood,,44685,Green,"379,990","2,757",No Plan,19/05/2024 10:01:00 PM
4746,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/chase,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Chase,,77355,Magnolia,"305,950","2,241",No Plan,19/05/2024 10:01:00 PM
3759,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/cullman-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Cullman II,,77355,Magnolia,"269,950","1,787",No Plan,19/05/2024 10:01:00 PM
8070,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/blakemore-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Blakemore II,,77355,Magnolia,"289,950","2,009",No Plan,19/05/2024 10:01:00 PM
7740,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/juniper-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Juniper II,,77355,Magnolia,"305,950","2,044",No Plan,19/05/2024 10:01:00 PM
1525,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/hoover-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Hoover II,,77355,Magnolia,"315,950","2,300",No Plan,19/05/2024 10:01:00 PM
4943,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/monaco-iii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Monaco III,,77355,Magnolia,"339,950","2,711",No Plan,19/05/2024 10:01:00 PM
7951,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/tuscany-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Tuscany II,,77355,Magnolia,"338,999","2,674",No Plan,19/05/2024 10:01:00 PM
6708,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/ashville,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Ashville,,77355,Magnolia,"340,950","2,477",No Plan,19/05/2024 10:01:00 PM
