product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,latitude,longitude,price,sq_ft,data_src,date
6223,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/topaz,Home Builder,,K.Hovnanian Homes,Fowler,CA,Topaz,,93625,Fowler,36.620062,-119.691223,"499,990","2,502",No Plan,29/05/2024 11:52:08 PM
8419,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/juniper,Home Builder,,K.Hovnanian Homes,Fowler,CA,Juniper,,93625,Fowler,36.620062,-119.691223,"429,990","1,694",No Plan,29/05/2024 11:52:08 PM
1189,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/paso-fino,Home Builder,,K.Hovnanian Homes,Fowler,CA,Paso Fino,,93625,Fowler,36.620062,-119.691223,"499,990","1,973",No Plan,29/05/2024 11:52:08 PM
1324,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/larkspur,Home Builder,,K.Hovnanian Homes,Fowler,CA,Larkspur,,93625,Fowler,36.620062,-119.691223,"509,990","2,227",No Plan,29/05/2024 11:52:08 PM
6175,Hovnanian,https://www.khov.com/find-new-homes/california/fowler/93625/k-hovnanian-homes/aspire-at-sunnyside/slate,Home Builder,,K.Hovnanian Homes,Fowler,CA,Slate,,93625,Fowler,36.620062,-119.691223,"549,990","2,797",No Plan,29/05/2024 11:52:08 PM
8536,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/ashmere,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Ashmere,,34951,Fort-Pierce,27.528997,-80.410311,"358,990","1,464",No Plan,29/05/2024 11:52:08 PM
9978,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/eden,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Eden,,34951,Fort-Pierce,27.528997,-80.410311,"374,990","1,616",No Plan,29/05/2024 11:52:08 PM
6614,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/lelia,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Lelia,,34951,Fort-Pierce,27.528997,-80.410311,"398,990","1,917",No Plan,29/05/2024 11:52:08 PM
7260,Hovnanian,https://www.khov.com/find-new-homes/florida/fort-pierce/34951/k-hovnanian-homes/aspire-at-waterstone/emerald,Home Builder,,K.Hovnanian Homes,Fort-Pierce,FL,Emerald,,34951,Fort-Pierce,27.528997,-80.410311,"411,990","2,321",No Plan,29/05/2024 11:52:08 PM
9813,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village/george,Home Builder,,K.Hovnanian Homes,Bellville,TX,George,,77418,Bellville,29.922712,-96.247259,"256,990","1,413",No Plan,29/05/2024 11:52:08 PM
