product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,date
8723,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes/brantwood,Home Builder,,K.Hovnanian Homes,Green,OH,Brantwood,,44685,Green,"379,990",09/05/2024 10:34:28 PM
8822,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/chase,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Chase,,77355,Magnolia,"305,950",09/05/2024 10:34:28 PM
4296,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/cullman-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Cullman II,,77355,Magnolia,"269,950",09/05/2024 10:34:28 PM
9729,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/blakemore-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Blakemore II,,77355,Magnolia,"289,950",09/05/2024 10:34:28 PM
6626,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/juniper-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Juniper II,,77355,Magnolia,"305,950",09/05/2024 10:34:28 PM
7152,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/hoover-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Hoover II,,77355,Magnolia,"315,950",09/05/2024 10:34:28 PM
2679,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/monaco-iii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Monaco III,,77355,Magnolia,"339,950",09/05/2024 10:34:28 PM
1508,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/tuscany-ii,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Tuscany II,,77355,Magnolia,"338,999",09/05/2024 10:34:28 PM
9673,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/ashville,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Ashville,,77355,Magnolia,"340,950",09/05/2024 10:34:28 PM
4314,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/ivory,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Ivory,,77355,Magnolia,"299,950",09/05/2024 10:34:28 PM
4296,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks/quartz,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Quartz,,77355,Magnolia,"259,950",09/05/2024 10:34:28 PM
1822,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/forsythia-32cd1bc6-7f4e-492f-8189-808c415b066a,Home Builder,,K.Hovnanian Homes,Elyria,OH,Forsythia,,44035,Elyria,"304,990",09/05/2024 10:34:28 PM
7185,Hovnanian,https://www.khov.com/find-new-homes/ohio/elyria/44035/k-hovnanian-homes/harvest-meadows/goldenrod-ea1750f2-5305-44da-827c-444d4bc77cf3,Home Builder,,K.Hovnanian Homes,Elyria,OH,Goldenrod,,44035,Elyria,"317,990",09/05/2024 10:34:28 PM
