product_num,brand,url,type,title,community,market,state,collection,city,fullzips,msa,price,sq_ft,site_plan,date,Sales Model,Closed,Quick Delivery,Sold,Unavailable,Future Development,Available,Reserved,total
6453,Hovnanian,https://www.khov.com/find-new-homes/ohio/green/44685/k-hovnanian-homes/forest-lakes,Home Builder,,K.Hovnanian Homes,Green,OH,The Enclave at Forest Lakes,,44685,Green,"3,20,990","1,854",plan_available,20/05/24,1,28,14,10,0,15,8,0,76
7951,Hovnanian,https://www.khov.com/find-new-homes/texas/magnolia/77355/k-hovnanian-homes/glen-oaks,Home Builder,,K.Hovnanian Homes,Magnolia,TX,Glen Oaks,,77355,Magnolia,"2,59,950","1,660",plan_available,20/05/24,1,41,9,14,1,0,7,0,73
7359,Hovnanian,https://www.khov.com/find-new-homes/texas/fate/75087/k-hovnanian-homes/monterra,Home Builder,,K.Hovnanian Homes,Fate,TX,Monterra,,75087,Fate,"4,87,900","2,499",plan_available,20/05/24,1,17,20,21,2,0,12,0,73
1611,Hovnanian,https://www.khov.com/find-new-homes/new-jersey/howell-township/07731/k-hovnanian-homes/views-at-monmouth-manor,Home Builder,,K.Hovnanian Homes,Howell-Township,NJ,Views at Monmouth Manor,,7731,Howell-Township,"8,13,990","2,352",plan_available,20/05/24,2,0,7,24,0,33,6,0,72
3802,Hovnanian,https://www.khov.com/find-new-homes/texas/santa-fe/77517/k-hovnanian-homes/centennial-oaks,Home Builder,,K.Hovnanian Homes,Santa-Fe,TX,Centennial Oaks,,77517,Santa-Fe,"3,49,990","1,902",plan_available,20/05/24,1,1,23,5,22,0,17,0,69
5513,Hovnanian,https://www.khov.com/find-new-homes/california/patterson/95363/k-hovnanian-homes/aspire-at-apricot-grove,Home Builder,,K.Hovnanian Homes,Patterson,CA,Aspire at Apricot Grove,,95363,Patterson,"5,27,224","1,724",plan_available,20/05/24,2,50,11,4,0,0,0,0,67
5714,Hovnanian,https://www.khov.com/find-new-homes/texas/league-city/77573/k-hovnanian-homes/westland-ranch,Home Builder,,K.Hovnanian Homes,League-City,TX,Westland Ranch,,77573,League-City,"5,39,990","2,499",plan_available,20/05/24,1,1,23,10,7,0,25,0,67
5669,Hovnanian,https://www.khov.com/find-new-homes/texas/watauga/76148/k-hovnanian-homes/hightower-estates,Home Builder,,K.Hovnanian Homes,Watauga,TX,Hightower Estates,,76148,Watauga,"3,81,900","1,711",plan_available,20/05/24,1,0,6,24,24,0,12,0,67
4600,Hovnanian,https://www.khov.com/find-new-homes/texas/bellville/77418/k-hovnanian-homes/bluebonnet-village,Home Builder,,K.Hovnanian Homes,Bellville,TX,Bluebonnet Village,,77418,Bellville,"2,56,990","1,413",plan_available,20/05/24,0,28,7,14,2,0,15,0,66
4954,Hovnanian,https://www.khov.com/find-new-homes/california/rancho-cordova/95742/k-hovnanian-homes/canyon-at-the-ranch,Home Builder,,K.Hovnanian Homes,Rancho-Cordova,CA,Canyon at The Ranch,,95742,Rancho-Cordova,"6,39,822","1,945",plan_available,20/05/24,2,23,12,4,0,24,0,0,65
